,category,sub_category,brand,sale_price,market_price,type,rating
0,Beauty & Hygiene,Hair Care,Sri Sri Ayurveda ,220.0,220.0,Hair Oil & Serum,4.1
1,"Kitchen, Garden & Pets",Storage & Accessories,Mastercook,180.0,180.0,Water & Fridge Bottles,2.3
2,Cleaning & Household,Pooja Needs,Trm,119.0,250.0,Lamp & Lamp Oil,3.4
3,Cleaning & Household,Bins & Bathroom Ware,Nakoda,149.0,176.0,"Laundry, Storage Baskets",3.7
4,Beauty & Hygiene,Bath & Hand Wash,Nivea,162.0,162.0,Bathing Bars & Soaps,4.4
5,Cleaning & Household,All Purpose Cleaners,Nature Protect,169.0,199.0,Disinfectant Spray & Cleaners,3.3
6,Beauty & Hygiene,Skin Care,Satinance,58.0,58.0,Face Care,3.6
7,Beauty & Hygiene,Bath & Hand Wash,Bionova,250.0,250.0,Hand Wash & Sanitizers,4.0
8,Beauty & Hygiene,Hair Care,StBotanica,1098.0,1098.0,Shampoo & Conditioner,3.5
9,Cleaning & Household,"Mops, Brushes & Scrubs",Scotch brite,20.0,20.0,"Utensil Scrub-Pad, Glove",4.3
10,Gourmet & World Food,Cooking & Baking Needs,NUTRASHIL,261.0,290.0,Flours & Pre-Mixes,4.0
11,Gourmet & World Food,Chocolates & Biscuits,Sapphire,600.0,600.0,"Luxury Chocolates, Gifts",2.2
12,Beauty & Hygiene,Skin Care,Oxy,110.0,110.0,Face Care,5.0
13,Cleaning & Household,All Purpose Cleaners,Clorox,350.0,350.0,Floor & Other Cleaners,3.8
14,Cleaning & Household,Fresheners & Repellents,Herbal Strategi,200.0,200.0,Mosquito Repellent,4.2
15,Cleaning & Household,Bins & Bathroom Ware,Nakoda,49.0,59.0,Soap Cases & Dispensers,4.0
16,Beauty & Hygiene,Skin Care,Aroma Treasures,324.0,360.0,Aromatherapy,5.0
17,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Graminway,180.0,180.0,Roasted Seeds & Nuts,4.9
18,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,120.0,120.0,Roasted Seeds & Nuts,4.3
19,Gourmet & World Food,Dairy & Cheese,Murginns,85.14,90.0,Tofu,3.9
20,Beauty & Hygiene,Hair Care,Bronson Professional,525.0,700.0,Tools & Accessories,4.2
21,Gourmet & World Food,"Pasta, Soup & Noodles",Koka,45.0,50.0,Imported Noodles,4.1
22,"Foodgrains, Oil & Masala",Dry Fruits,NaturoBell,120.0,120.0,Other Dry Fruits,3.9
23,Gourmet & World Food,Drinks & Beverages,Cambridge Tea Party,75.0,75.0,Gourmet Tea & Tea Bags,3.9
24,"Kitchen, Garden & Pets",Kitchen Accessories,IRICH,195.0,195.0,Choppers & Graters,5.0
25,"Kitchen, Garden & Pets",Flask & Casserole,Cello,659.0,895.0,Casserole,3.3
26,Snacks & Branded Foods,Breakfast Cereals,Fit & Flex,245.0,265.0,Granola & Cereal Bars,3.5
27,"Foodgrains, Oil & Masala",Dry Fruits,Safe Harvest,53.9,55.0,Other Dry Fruits,4.0
28,Snacks & Branded Foods,Frozen Veggies & Snacks,Switz,90.0,110.0,Frozen Veg Snacks,4.3
29,Beauty & Hygiene,Skin Care,Organic Harvest,169.15,199.0,Lip Care,1.5
30,Beverages,Fruit Juices & Drinks,Real,19.0,20.0,Juices,2.9
31,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Cadbury,102.0,120.0,"Bakery Biscuits, Cookies",4.2
32,Beauty & Hygiene,Fragrances & Deos,Old Spice,211.65,249.0,Men's Deodorants,3.4
33,Beverages,Tea,Octavius,225.0,225.0,Green Tea,3.7
34,"Kitchen, Garden & Pets",Storage & Accessories,Steelo,499.0,969.0,Containers Sets,3.9
35,"Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,98.0,120.0,Whole Spices,4.1
36,"Foodgrains, Oil & Masala",Masalas & Spices,Catch,46.75,55.0,Blended Masalas,3.9
37,Beauty & Hygiene,Fragrances & Deos,Engage,136.5,195.0,Men's Deodorants,4.1
38,Beauty & Hygiene,Men's Grooming,Engage,112.75,205.0,Men's Deodorants,3.7
39,Snacks & Branded Foods,Chocolates & Candies,Fabelle,160.0,200.0,Chocolates,4.4
40,Beauty & Hygiene,Fragrances & Deos,Colour Me,427.5,450.0,Eau De Toilette,4.3
41,Beauty & Hygiene,Bath & Hand Wash,Liril,360.0,360.0,Bathing Bars & Soaps,4.2
42,Gourmet & World Food,Chocolates & Biscuits,Twister,275.0,275.0,"Cookies, Biscotti, Wafer",4.3
43,"Kitchen, Garden & Pets",Steel Utensils,Classic Essentials,109.0,299.0,Steel Lunch Boxes,2.6
44,Gourmet & World Food,Tinned & Processed Food,Figaro,179.0,179.0,"Olive, Jalapeno, Gherkin",5.0
45,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,250.0,250.0,"Organic Rice, Other Rice",3.9
46,Beauty & Hygiene,Men's Grooming,Gillette,459.62,469.0,Shaving Care,3.9
47,Cleaning & Household,All Purpose Cleaners,Dylon ,799.0,799.0,Imported Cleaners,4.0
48,Gourmet & World Food,"Sauces, Spreads & Dips",Pantai,245.0,245.0,Thai & Asian Sauces,3.7
49,Snacks & Branded Foods,Pickles & Chutney,Spice Story,100.0,125.0,Chutney Powder,3.0
